epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,838.6,0.46018,0.41198,0.47449,0.00152,0.26166,0.70451,0.89749,0.89751,0.85439,0.70443,0.90101,0.89842,0.82243,0.33936,0.35061,0.54863,0.00144,0,0.000456921,0.000456921,0.000456921
29,867.667,0.43463,0.39758,0.49727,0.00142,0.30833,0.85931,0.88705,0.9474,0.90275,0.85931,0.88705,0.94752,0.86634,0.32651,0.34156,0.39961,0.00137,0,0.000453251,0.000453251,0.000453251
30,896.582,0.44433,0.39645,0.48573,0.00143,0.27957,0.93109,0.91091,0.9601,0.91618,0.93109,0.91091,0.96045,0.87687,0.32357,0.37301,0.35653,0.00136,0,0.000449582,0.000449582,0.000449582
31,925.727,0.43704,0.39007,0.48041,0.00149,0.28825,0.73824,0.93063,0.9176,0.87053,0.73824,0.93063,0.91816,0.84717,0.34697,0.37336,0.46509,0.00146,0,0.000445912,0.000445912,0.000445912
32,954.764,0.43821,0.36286,0.43791,0.00142,0.25624,0.86506,0.90035,0.94951,0.9021,0.86506,0.90035,0.95039,0.87423,0.34243,0.3528,0.37661,0.00145,0,0.000442242,0.000442242,0.000442242
33,983.793,0.4521,0.37849,0.40382,0.00151,0.26447,0.81534,0.90552,0.94453,0.89565,0.81534,0.90552,0.9449,0.86352,0.33937,0.36531,0.40842,0.00142,0,0.000438573,0.000438573,0.000438573
34,1012.79,0.43351,0.36456,0.41769,0.00141,0.23461,0.78356,0.93384,0.93351,0.89096,0.78356,0.93384,0.93458,0.85394,0.32662,0.34272,0.39929,0.00138,0,0.000434903,0.000434903,0.000434903
35,1041.96,0.44846,0.39888,0.44713,0.00149,0.2679,0.86896,0.94107,0.96651,0.92331,0.86896,0.94107,0.96656,0.88633,0.31092,0.35429,0.325,0.00128,0,0.000431234,0.000431234,0.000431234
36,1071.3,0.42472,0.37116,0.46622,0.00144,0.27912,0.69729,0.95096,0.89366,0.84629,0.69729,0.95096,0.89376,0.81988,0.34803,0.38748,0.53927,0.00148,0,0.000427564,0.000427564,0.000427564
37,1100.19,0.45829,0.39433,0.46847,0.00149,0.27358,0.81042,0.90907,0.94057,0.88711,0.81042,0.90907,0.94084,0.86833,0.35666,0.36029,0.41056,0.00153,0,0.000423894,0.000423894,0.000423894
38,1129.14,0.44693,0.38192,0.48284,0.00146,0.28462,0.76401,0.90205,0.9197,0.87394,0.76401,0.90205,0.92046,0.85783,0.33114,0.33711,0.44408,0.0014,0,0.000420225,0.000420225,0.000420225
39,1158.54,0.42806,0.38524,0.43241,0.00139,0.26917,0.8634,0.8842,0.94504,0.90216,0.8634,0.8842,0.94506,0.86454,0.32566,0.36603,0.38695,0.00134,0,0.000416555,0.000416555,0.000416555
40,1187.5,0.44027,0.38382,0.4124,0.00145,0.23281,0.83312,0.89184,0.94506,0.90125,0.83312,0.89184,0.94506,0.8578,0.32762,0.34987,0.38512,0.00139,0,0.000412886,0.000412886,0.000412886
41,1216.68,0.43052,0.38926,0.48292,0.00146,0.31465,0.88941,0.89609,0.96396,0.913,0.88941,0.89609,0.96396,0.88301,0.34146,0.33147,0.3697,0.00143,0,0.000409216,0.000409216,0.000409216
