epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,606.72,0.7726,0.64873,0.71761,0.00181,0.76082,0.7034,0.78387,0.81772,0.69512,0.73464,0.73877,0.80351,0.61187,0.64163,0.84277,0.72099,0.00178,0,0.000456921,0.000456921,0.000456921
29,627.284,0.77621,0.67109,0.75702,0.0018,0.77717,0.70007,0.82689,0.8295,0.70833,0.69294,0.81506,0.81549,0.61754,0.6329,0.82304,0.67248,0.00177,0,0.000453251,0.000453251,0.000453251
30,647.846,0.78166,0.67827,0.73818,0.0018,0.76896,0.76446,0.82906,0.87571,0.74036,0.76233,0.82531,0.86762,0.64213,0.67147,nan,nan,0.0019,0,0.000449582,0.000449582,0.000449582
31,668.318,0.74917,0.63886,0.71144,0.00176,0.71351,0.75734,0.79948,0.85908,0.72612,0.74839,0.78792,0.84411,0.62306,nan,nan,nan,nan,0,0.000445912,0.000445912,0.000445912
32,688.631,0.74649,0.63989,0.67299,0.00178,0.67274,0.7215,0.8261,0.85213,0.72096,0.71731,0.81527,0.8379,0.61041,0.64307,0.80144,0.66424,0.00178,0,0.000442242,0.000442242,0.000442242
33,709.064,0.76395,0.64517,0.66978,0.00174,0.65603,0.80284,0.81545,0.88315,0.7607,0.81099,0.8023,0.86924,0.65217,0.61441,0.83321,0.58797,0.00172,0,0.000438573,0.000438573,0.000438573
34,730.154,0.77234,0.64346,0.69031,0.00183,0.6788,0.73861,0.82631,0.85853,0.73646,0.72943,0.81647,0.84363,0.63664,0.62333,0.82405,0.62563,0.00174,0,0.000434903,0.000434903,0.000434903
35,754.432,0.74804,0.60765,0.65306,0.00174,0.63586,0.69488,0.81549,0.83016,0.70728,0.69594,0.79503,0.82148,0.61618,0.65522,0.84772,0.68326,0.00185,0,0.000431234,0.000431234,0.000431234
36,774.902,0.7549,0.62181,0.6815,0.00179,0.67734,0.76034,0.82701,0.87315,0.74679,0.74953,0.8176,0.86024,0.63806,0.62212,0.82957,0.59963,0.00176,0,0.000427564,0.000427564,0.000427564
37,795.431,0.76738,0.64843,0.65561,0.00181,0.62866,0.70824,0.83808,0.84715,0.72458,0.69855,0.82977,0.83308,0.62848,0.61833,0.80821,0.67518,0.00172,0,0.000423894,0.000423894,0.000423894
38,815.973,0.75066,0.61057,0.63485,0.00172,0.54539,0.72247,0.80687,0.84889,0.72347,0.71674,0.79589,0.83559,0.63002,0.64752,0.83946,0.68084,0.0018,0,0.000420225,0.000420225,0.000420225
39,836.347,0.74749,0.61704,0.64276,0.0017,0.67554,0.707,0.7942,0.83516,0.72107,0.7002,0.77959,0.81764,0.60926,0.58969,0.84448,0.71213,0.00162,0,0.000416555,0.000416555,0.000416555
40,856.74,0.73833,0.61861,0.63915,0.00168,0.64265,0.72393,0.84723,0.87363,0.75305,0.70964,0.83754,0.85644,0.63666,0.58984,0.85022,0.59918,0.00163,0,0.000412886,0.000412886,0.000412886
41,877.207,0.7341,0.61458,0.63115,0.00165,0.57518,0.65226,0.83979,0.81891,0.69745,0.64404,0.82709,0.80556,0.59946,0.64514,0.8956,0.72819,0.00184,0,0.000409216,0.000409216,0.000409216
42,897.686,0.74055,0.62818,0.66784,0.0017,0.65081,0.81796,0.80429,0.88822,0.76123,0.80796,0.79507,0.87171,0.65433,0.60698,0.78787,0.5623,0.00169,0,0.000405546,0.000405546,0.000405546
43,918.477,0.71926,0.5975,0.59089,0.00166,0.57267,0.7573,0.82839,0.86464,0.74386,0.7492,0.8179,0.85153,0.64154,0.59178,nan,nan,0.00165,0,0.000401877,0.000401877,0.000401877
44,938.883,0.72883,0.59211,0.63639,0.00171,0.60625,0.69608,0.86282,0.86352,0.73676,0.68769,0.85071,0.8495,0.6315,0.63769,0.82694,0.61265,0.00181,0,0.000398207,0.000398207,0.000398207
45,961.032,0.71634,0.58124,0.5854,0.00165,0.56141,0.72769,0.84232,0.86969,0.74407,0.71737,0.83025,0.85593,0.64194,0.62921,0.85922,0.58869,0.00176,0,0.000394538,0.000394538,0.000394538
46,981.601,0.70278,0.5805,0.56849,0.00163,0.56919,0.84706,0.82726,0.9077,0.78575,0.83799,0.81763,0.89226,0.66974,0.59327,0.85061,0.50598,0.00164,0,0.000390868,0.000390868,0.000390868
47,1004.25,0.72842,0.58754,0.61831,0.00166,0.5733,0.75596,0.83236,0.87614,0.75492,0.74845,0.81405,0.85903,0.64147,0.59149,0.90639,0.59693,0.00162,0,0.000387198,0.000387198,0.000387198
48,1025.81,0.71158,0.5954,0.61488,0.00168,0.64792,0.70445,0.84623,0.85637,0.73446,0.69329,0.83211,0.84044,0.61548,0.61791,0.94394,0.66045,0.00171,0,0.000383529,0.000383529,0.000383529
49,1046.19,0.73365,0.61417,0.60328,0.00168,0.61234,0.71554,0.82638,0.83519,0.72578,0.71305,0.80813,0.82315,0.61572,0.59288,0.84065,0.70883,0.00164,0,0.000379859,0.000379859,0.000379859
50,1066.84,0.71765,0.61606,0.58782,0.0017,0.50862,0.72256,0.79439,0.83098,0.71898,0.71192,0.78352,0.81517,0.61152,0.59405,0.9032,0.73023,0.00163,0,0.00037619,0.00037619,0.00037619
51,1087.32,0.71141,0.56967,0.5923,0.00164,0.56162,0.81238,0.80448,0.88551,0.75865,0.80263,0.79657,0.87415,0.65859,0.62971,0.86651,0.56257,0.00173,0,0.00037252,0.00037252,0.00037252
52,1111.12,0.72076,0.56285,0.60541,0.00166,0.59256,0.75609,0.83631,0.87833,0.76475,0.75029,0.82067,0.86539,0.65781,0.58479,0.84498,0.57509,0.00162,0,0.00036885,0.00036885,0.00036885
