epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2743.73,0.29632,0.26422,0.16303,0.00133,0.05598,0.82648,0.78444,0.8586,0.82178,0.82648,0.78444,0.8586,0.80053,0.32854,nan,nan,0.0014,0,0.000392562,0.000392562,0.000392562
28,2874.48,0.29197,0.26711,0.14469,0.00131,0.0623,0.92346,0.90286,0.96779,0.93191,0.92346,0.90286,0.96779,0.92198,0.32301,0.3239,0.32921,0.00133,0,0.00038494,0.00038494,0.00038494
29,3026.41,0.27256,0.26155,0.14172,0.00122,0.05053,0.81001,0.88288,0.89873,0.87201,0.81001,0.88288,0.89917,0.84696,0.29771,0.35358,0.533,0.00124,0,0.000377148,0.000377148,0.000377148
30,3163.94,0.26758,0.26203,0.14503,0.00119,0.05195,0.86405,0.85196,0.91965,0.89021,0.86405,0.85196,0.92014,0.86553,0.30001,0.34002,0.48321,0.00124,0,0.000369198,0.000369198,0.000369198
31,3297.36,0.26427,0.26076,0.13878,0.00118,0.05204,0.83994,0.8859,0.93323,0.90764,0.83994,0.8859,0.93361,0.87032,0.29203,0.34065,0.46331,0.00121,0,0.000361104,0.000361104,0.000361104
32,3424.84,0.26192,0.26356,0.15249,0.00115,0.05401,0.82295,0.84718,0.90887,0.88222,0.82295,0.84718,0.90925,0.84758,0.29874,0.35595,0.56646,0.00124,0,0.000352876,0.000352876,0.000352876
33,3502.86,0.25719,0.25735,0.13618,0.00114,0.05147,0.89317,0.88589,0.93865,0.90579,0.89317,0.88589,0.93903,0.88446,0.31038,0.32945,0.42846,0.0013,0,0.000344529,0.000344529,0.000344529
34,3583.2,0.2652,0.26192,0.15276,0.00118,0.05356,0.84076,0.86811,0.91362,0.8861,0.84076,0.86811,0.91424,0.85686,0.30239,0.34041,0.49463,0.00127,0,0.000336074,0.000336074,0.000336074
35,3666.34,0.25752,0.25871,0.13828,0.00114,0.05439,0.874,0.84973,0.93136,0.90043,0.874,0.84973,0.93136,0.87255,0.29313,0.34148,0.45015,0.00122,0,0.000327525,0.000327525,0.000327525
36,3744.1,0.25209,0.25979,0.1359,0.00111,0.04867,0.88388,0.89289,0.94366,0.92057,0.88388,0.89289,0.94366,0.88499,0.29288,0.34133,0.44576,0.00122,0,0.000318895,0.000318895,0.000318895
37,3823.74,0.26216,0.25528,0.13955,0.00116,0.04699,0.85647,0.89797,0.928,0.90122,0.85647,0.89797,0.928,0.86789,0.30481,0.3332,0.47404,0.00128,0,0.000310198,0.000310198,0.000310198
38,3925.55,0.25278,0.24728,0.12024,0.00112,0.04209,0.90029,0.86326,0.94539,0.91817,0.90029,0.86326,0.94539,0.89046,0.29538,0.32877,0.4224,0.00122,0,0.000301446,0.000301446,0.000301446
39,4034.6,0.25018,0.24722,0.11679,0.00109,0.03759,0.86077,0.87239,0.94237,0.91693,0.86077,0.87239,0.94237,0.88221,0.29776,0.3284,0.43735,0.00124,0,0.000292653,0.000292653,0.000292653
40,4158.27,0.24671,0.24702,0.10705,0.00108,0.03694,0.90135,0.88989,0.95862,0.93524,0.90135,0.88989,0.95862,0.8992,0.28311,0.33013,0.36729,0.00118,0,0.000283833,0.000283833,0.000283833
41,4276.91,0.24613,0.24539,0.11714,0.00109,0.03938,0.84782,0.8979,0.94415,0.91818,0.84782,0.8979,0.94415,0.88231,0.29741,0.34175,0.42127,0.00127,0,0.000275,0.000275,0.000275
42,4400.16,0.24502,0.24429,0.11131,0.00108,0.03621,0.86447,0.92179,0.95216,0.92548,0.86447,0.92179,0.95265,0.89077,0.29074,0.31642,0.36641,0.00123,0,0.000266167,0.000266167,0.000266167
43,4513.33,0.24942,0.24564,0.11587,0.0011,0.03951,0.81355,0.91164,0.92042,0.89874,0.81355,0.91164,0.92081,0.8637,0.28326,0.32162,0.50011,0.00121,0,0.000257347,0.000257347,0.000257347
44,4620.04,0.23815,0.24246,0.10168,0.00105,0.02985,0.82723,0.85859,0.89069,0.8689,0.82723,0.85859,0.89069,0.83447,0.2786,0.33177,0.59572,0.00118,0,0.000248554,0.000248554,0.000248554
45,4719.97,0.23798,0.23996,0.09843,0.00105,0.02791,0.8938,0.87198,0.93253,0.9107,0.8938,0.87198,0.93253,0.87329,0.26951,0.32492,0.45868,0.00112,0,0.000239802,0.000239802,0.000239802
46,4819.96,0.23687,0.24087,0.09979,0.00104,0.03252,0.87862,0.87943,0.92552,0.90633,0.87862,0.87943,0.92552,0.86606,0.27289,0.34856,0.52138,0.00115,0,0.000231105,0.000231105,0.000231105
47,4913.82,0.23512,0.23866,0.10196,0.00102,0.03021,0.8585,0.8698,0.89588,0.87733,0.8585,0.8698,0.89588,0.84184,0.27563,0.34805,0.60513,0.00115,0,0.000222475,0.000222475,0.000222475
48,4998.01,0.23394,0.24251,0.10591,0.00103,0.03096,0.85895,0.85841,0.88733,0.86956,0.85895,0.85841,0.88733,0.83327,0.28078,0.3423,0.60819,0.00118,0,0.000213926,0.000213926,0.000213926
