epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.436,0.87828,1.27323,2.42426,0.91421,0,0.33423,0.69899,0.42301,0.35541,0.33282,0.69362,0.41637,0.31679,0.64356,0.95265,1.60564,0.82652,0,0.000182392,0.000182392,0.000182392
2,87.688,0.74322,0.94874,1.39701,0.86254,0,0.4221,0.78485,0.54787,0.44324,0.41846,0.77959,0.54336,0.41614,0.63704,0.90714,1.16381,0.82543,0,0.000364084,0.000364084,0.000364084
3,128.065,0.72495,0.91485,1.23594,0.8586,0,0.44699,0.8005,0.5171,0.41556,0.44456,0.79569,0.51057,0.3771,0.6293,0.92228,1.14328,0.82744,0,0.000542108,0.000542108,0.000542108
4,164.347,0.72861,0.95006,1.19442,0.85881,0,0.36813,0.60102,0.39642,0.31136,0.35736,0.58822,0.38265,0.26329,0.71176,1.24241,1.52276,0.84352,0,0.000539487,0.000539487,0.000539487
5,202.398,0.69117,0.89783,1.14344,0.85259,0,0.44513,0.80915,0.55485,0.45335,0.43865,0.80379,0.54466,0.40183,0.60616,0.90905,1.0738,0.81826,0,0.000533982,0.000533982,0.000533982
6,238.891,0.68575,0.84794,1.10818,0.85375,0,0.43302,0.82065,0.4402,0.34685,0.42546,0.80959,0.42705,0.30462,0.6477,0.9631,1.14705,0.82676,0,0.000528478,0.000528478,0.000528478
7,276.066,0.67967,0.84295,1.07035,0.8481,0,0.46043,0.83954,0.57553,0.4655,0.45967,0.81554,0.56683,0.39715,0.65391,1.003,1.03292,0.82176,0,0.000522974,0.000522974,0.000522974
8,315.519,0.67534,0.82841,1.05211,0.84939,0,0.49871,0.81013,0.64801,0.54233,0.50008,0.79145,0.63669,0.47114,0.59454,0.95728,0.94028,0.81881,0,0.000517469,0.000517469,0.000517469
9,356.213,0.67336,0.84008,1.00472,0.8483,0,0.51222,0.84235,0.66834,0.56652,0.51065,0.83218,0.66284,0.49884,0.56157,0.87591,0.90252,0.8128,0,0.000511965,0.000511965,0.000511965
10,396.971,0.64493,0.79092,0.94158,0.84068,0,0.57956,0.81369,0.7416,0.62535,0.57876,0.80474,0.73574,0.54564,0.56268,0.87691,0.8372,0.81156,0,0.00050646,0.00050646,0.00050646
11,438.553,0.65576,0.81432,0.90585,0.84306,0,0.68127,0.81672,0.81907,0.67368,0.6743,0.80146,0.7987,0.59678,0.57273,0.88388,0.74552,0.81473,0,0.000500956,0.000500956,0.000500956
12,478.413,0.61921,0.74829,0.84269,0.83645,0,0.64293,0.83108,0.80844,0.66009,0.63375,0.81953,0.79088,0.56952,0.61076,0.8931,0.76641,0.81794,0,0.000495452,0.000495452,0.000495452
13,516.453,0.61518,0.73072,0.79013,0.84236,0,0.66114,0.81114,0.8176,0.69137,0.65638,0.80065,0.80947,0.59662,0.53585,0.85759,0.74974,0.80844,0,0.000489947,0.000489947,0.000489947
14,556.736,0.58877,0.70856,0.71482,0.83171,0,0.66895,0.83777,0.83691,0.68818,0.66412,0.82962,0.8284,0.62025,0.60136,0.87526,0.74273,0.81576,0,0.000484443,0.000484443,0.000484443
15,596.362,0.60697,0.73743,0.75745,0.83915,0,0.73724,0.80013,0.82871,0.7032,0.73514,0.78756,0.81768,0.60519,0.52791,0.85809,0.6993,0.80788,0,0.000478938,0.000478938,0.000478938
16,634.737,0.59379,0.72636,0.76782,0.83624,0,0.66302,0.75486,0.77155,0.64931,0.66584,0.7395,0.75982,0.56843,0.53922,0.85381,0.82946,0.80801,0,0.000473434,0.000473434,0.000473434
17,671.99,0.57876,0.70333,0.72613,0.83504,0,0.7787,0.7782,0.85577,0.7289,0.77516,0.77696,0.84997,0.64607,0.51575,0.76069,0.65714,0.80464,0,0.00046793,0.00046793,0.00046793
18,713.212,0.56926,0.67263,0.65883,0.83048,0,0.7103,0.813,0.82693,0.70687,0.70782,0.80999,0.82257,0.62225,0.51006,0.79774,0.68781,0.80039,0,0.000462425,0.000462425,0.000462425
19,748.982,0.57752,0.67234,0.68158,0.83463,0,0.66617,0.80748,0.81543,0.67277,0.64985,0.79743,0.80012,0.58491,0.62121,0.93414,0.74583,0.82066,0,0.000456921,0.000456921,0.000456921
20,786.755,0.58799,0.67991,0.64764,0.8352,0,0.8308,0.78558,0.88825,0.75221,0.84014,0.7753,0.88249,0.65341,0.53055,0.81239,0.59685,0.80632,0,0.000451416,0.000451416,0.000451416
21,827.46,0.57964,0.67003,0.6302,0.83496,0,0.78061,0.77822,0.85299,0.72583,0.76987,0.76733,0.8398,0.62319,0.51289,0.86646,0.6582,0.80119,0,0.000445912,0.000445912,0.000445912
22,863.685,0.5678,0.67336,0.65424,0.83336,0,0.84193,0.85161,0.91463,0.78468,0.84506,0.84186,0.90899,0.67955,0.48784,0.71697,0.55257,0.79947,0,0.000440408,0.000440408,0.000440408
23,904.54,0.58168,0.68158,0.67292,0.83258,0,0.75089,0.78814,0.8445,0.71702,0.7421,0.78535,0.83567,0.6274,0.50173,0.78166,0.67607,0.80047,0,0.000434903,0.000434903,0.000434903
24,940.016,0.55632,0.64407,0.58784,0.82917,0,0.67388,0.84624,0.83614,0.71073,0.67133,0.83092,0.82825,0.62541,0.51494,0.75469,0.66292,0.80005,0,0.000429399,0.000429399,0.000429399
25,976.631,0.55403,0.62439,0.61645,0.834,0,0.60823,0.78996,0.7423,0.62043,0.60279,0.76814,0.72968,0.5356,0.57752,0.91732,0.83214,0.81082,0,0.000423894,0.000423894,0.000423894
