tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.541045811097,0.133288864456,0.890394203034,0.882651572364,386,467
R2,0.564258302005,0.150353368094,0.902281815449,0.895848038635,448,570
R3,0.54671274577,0.118933022528,0.876517418125,0.870803916516,488,622
L1,0.526715186498,0.0497803037766,0.871125800855,0.867491383963,502,635
L2,0.552094983171,0.174112234545,0.885400141776,0.876475076167,389,485
L3,0.548976502537,0.150005892759,0.870490638846,0.86239258439,323,407
