feature,selected_pairs,scored_pairs,genuine_scores,impostor_scores,shared_photo_content,insufficient_common_teeth,eer,eer_threshold,roc_auc,genuine_mean,genuine_std,impostor_mean,impostor_std,d_prime,far_at_1pct_target,frr_at_1pct_target,far_at_0_1pct_target,frr_at_0_1pct_target
resnet50_imagenet1k_v2,1998,1455,649,806,151,392,0.4591679506933744,0.8446169972218938,0.5616103415447312,0.8435946341533882,0.05458684534846798,0.8320709986060434,0.053826405401467686,0.21258198599622985,0.009925558312655087,0.9445300462249615,0.0,0.9907550077041603
hog,1998,1455,649,806,151,392,0.48635235732009924,0.8785429775458338,0.5305872367108018,0.8697230927348104,0.049996713163396524,0.866049725804402,0.04838645833858188,0.07466470035760132,0.009925558312655087,0.9645608628659477,0.0,0.9984591679506933
