tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.731428571429,0.649126806061,0.845749479291,0.7644400918,25,21
R2,0.648829431438,0.472425243183,0.860772413129,0.821361847728,23,13
R3,0.60119047619,0.314993696107,0.794299866638,0.758839684938,24,21
L1,0.540271132376,0.090999337348,0.800725092077,0.789475321724,57,44
L2,0.621527777778,0.300520329386,0.841792817038,0.809691195131,18,16
L3,0.539682539683,0.140368344168,0.708332611528,0.689768329562,9,7
