tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.71619047619,0.673735096778,0.84113925018,0.778924088322,25,21
R2,0.632107023411,0.626547612714,0.87281158032,0.841336574673,23,13
R3,0.656746031746,0.458880058798,0.805494440291,0.772691031787,24,21
L1,0.551435406699,0.183866359542,0.80750976259,0.791886859702,57,44
L2,0.694444444444,0.548758154481,0.857547724903,0.819298418474,18,16
L3,0.460317460317,0.0128625932312,0.796034946097,0.795166972059,9,7
