tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.739047619048,0.711253197918,0.857309026929,0.792257191394,25,21
R2,0.605351170569,0.376813565356,0.875093676618,0.856808194327,23,13
R3,0.642857142857,0.504788272493,0.805802375075,0.76611818166,24,21
L1,0.522328548644,0.0316160308469,0.799697640545,0.796663372084,57,44
L2,0.583333333333,0.272678106668,0.8674159194,0.846544735029,18,16
L3,0.555555555556,0.220016736602,0.803368514019,0.789476605831,9,7
