feature,selected_pairs,scored_pairs,genuine_scores,impostor_scores,shared_photo_content,insufficient_common_teeth,eer,eer_threshold,roc_auc,genuine_mean,genuine_std,impostor_mean,impostor_std,d_prime,far_at_1pct_target,frr_at_1pct_target,far_at_0_1pct_target,frr_at_0_1pct_target
resnet50_imagenet1k_v2,1998,171,92,79,151,1676,0.42391304347826086,0.8085891923069674,0.5923225096312603,0.8120151447763043,0.08632445075898101,0.7878646632527975,0.07908912363980677,0.2917222680411414,0.0,0.9456521739130435,0.0,0.9456521739130435
hog,1998,171,92,79,151,1676,0.43037974683544306,0.830519409818,0.6049807374793619,0.828016683332011,0.09189350964858391,0.8021225381282152,0.0863056710658169,0.2904774748085105,0.0,0.9891304347826086,0.0,0.9891304347826086
