tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.737142857143,0.639938607002,0.845459881465,0.771775460986,25,21
R2,0.678929765886,0.646215063273,0.869006520881,0.827825866129,23,13
R3,0.660714285714,0.490715738107,0.832468108081,0.792015646337,24,21
L1,0.555422647528,0.182357598263,0.823218518318,0.806792809367,57,44
L2,0.65625,0.389415993404,0.861748095604,0.828527280478,18,16
L3,0.730158730159,0.603051953923,0.839153214224,0.796080141998,9,7
