tooth,roc_auc,d_prime,genuine_mean,impostor_mean,genuine_count,impostor_count
R1,0.57601158314,0.264750721879,0.866260868916,0.849681624444,386,467
R2,0.595633615288,0.280077245111,0.884696594056,0.868173709244,448,570
R3,0.561211849665,0.214518357279,0.854570658524,0.842360969094,488,622
L1,0.536694168209,0.125824236728,0.838681235147,0.830133240539,502,635
L2,0.581432698169,0.243472555441,0.871661713793,0.857023953277,389,485
L3,0.570960208731,0.24434057179,0.856123370008,0.840273691056,323,407
