feature,selected_pairs,scored_pairs,genuine_scores,impostor_scores,shared_photo_content,insufficient_common_teeth,eer,eer_threshold,roc_auc,genuine_mean,genuine_std,impostor_mean,impostor_std,d_prime,far_at_1pct_target,frr_at_1pct_target,far_at_0_1pct_target,frr_at_0_1pct_target
resnet50_imagenet1k_v2,1998,171,92,79,151,1676,0.43037974683544306,0.8163691317983418,0.5868189323059985,0.8158885887555978,0.09168828889670887,0.7913434702930253,0.08341520784584881,0.28003745381356715,0.0,0.9021739130434783,0.0,0.9021739130434783
hog,1998,171,92,79,151,1676,0.45652173913043476,0.8218424701589783,0.5698954320308203,0.7993406154346195,0.12173222974656972,0.7784766125685316,0.10970630430472429,0.18005552388392942,0.0,0.9891304347826086,0.0,0.9891304347826086
