epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8557,0.31331,0.35104,0.31295,0.00121,0.18328,0.9551,0.90644,0.97793,0.95333,0.9551,0.90644,0.97888,0.92929,0.31462,0.38221,0.25926,0.00116,0,9.96825e-05,9.96825e-05,9.96825e-05
2,93.9648,0.30276,0.33405,0.28407,0.00116,0.12269,0.90931,0.92332,0.97406,0.94537,0.90931,0.92332,0.97492,0.92391,0.32055,0.37668,0.28174,0.00117,0,9.93543e-05,9.93543e-05,9.93543e-05
3,132.841,0.30242,0.33083,0.2406,0.00117,0.11625,0.92005,0.92059,0.97196,0.94447,0.92005,0.92059,0.97273,0.92813,0.32165,0.36666,0.28197,0.00119,0,9.74369e-05,9.74369e-05,9.74369e-05
4,172.491,0.2931,0.32062,0.23959,0.00114,0.12627,0.92375,0.9285,0.97301,0.94707,0.92375,0.9285,0.97331,0.93146,0.31827,0.35725,0.27689,0.00116,0,9.43061e-05,9.43061e-05,9.43061e-05
5,211.008,0.29775,0.32596,0.25062,0.00116,0.12922,0.92474,0.91901,0.97116,0.94481,0.92474,0.91901,0.97175,0.92785,0.31355,0.35727,0.28201,0.00115,0,9.00569e-05,9.00569e-05,9.00569e-05
6,249.76,0.29819,0.32037,0.23857,0.00112,0.09251,0.90997,0.90932,0.96624,0.94066,0.90997,0.90932,0.9667,0.92129,0.31465,0.36842,0.31144,0.00115,0,8.48185e-05,8.48185e-05,8.48185e-05
7,288.126,0.2957,0.32241,0.24,0.00114,0.11755,0.89423,0.91571,0.96387,0.93939,0.89423,0.91571,0.96433,0.91772,0.31207,0.36891,0.31602,0.00114,0,7.875e-05,7.875e-05,7.875e-05
