epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9051,0.74141,0.95997,3.64306,0.00257,7.55597,0.21731,0.45116,0.26471,0.23699,0.21731,0.45116,0.26469,0.22952,0.50144,0.64725,1.78183,0.0021,0,0.000182392,0.000182392,0.000182392
2,57.4247,0.62347,0.60485,1.837,0.00212,4.30896,0.4093,0.73984,0.4244,0.37786,0.4093,0.73984,0.4243,0.35412,0.52492,0.60484,1.22534,0.00221,0,0.000365298,0.000365298,0.000365298
3,78.0737,0.63006,0.62746,1.39595,0.00209,3.26993,0.43265,0.80051,0.48276,0.42281,0.43179,0.79919,0.4812,0.41412,0.56656,0.57153,1.05798,0.00235,0,0.000545758,0.000545758,0.000545758
4,99.9333,0.6248,0.60302,1.21216,0.00208,2.62853,0.47527,0.86507,0.52349,0.47773,0.47527,0.86507,0.52351,0.43608,0.43993,0.63419,0.93782,0.00181,0,0.000544991,0.000544991,0.000544991
5,124.86,0.6505,0.59861,1.09649,0.00218,2.14332,0.48274,0.88677,0.52508,0.46205,0.4819,0.88545,0.52281,0.43502,0.5532,0.52964,0.91097,0.00228,0,0.000541322,0.000541322,0.000541322
6,145.273,0.6578,0.57234,1.04393,0.00219,1.48706,0.48174,0.89017,0.56037,0.50952,0.48174,0.89017,0.56047,0.48786,0.46314,0.56497,0.9062,0.00191,0,0.000537652,0.000537652,0.000537652
7,165.982,0.62371,0.57453,1.0117,0.00209,0.97503,0.44135,0.63419,0.46648,0.42083,0.44173,0.63364,0.46426,0.39244,0.58239,1.45031,1.42118,0.00242,0,0.000533982,0.000533982,0.000533982
8,188.21,0.60393,0.56575,0.98644,0.00205,0.7285,0.50005,0.89425,0.60044,0.55663,0.5008,0.89558,0.60185,0.51552,0.40938,0.52916,0.85329,0.00171,0,0.000530313,0.000530313,0.000530313
9,209.122,0.62188,0.53895,0.93968,0.00217,0.67973,0.50765,0.87065,0.60244,0.56091,0.50765,0.87065,0.60227,0.51519,0.41259,0.54898,0.85407,0.00173,0,0.000526643,0.000526643,0.000526643
10,229.925,0.62245,0.56357,0.8897,0.00206,0.63801,0.70494,0.83972,0.81753,0.73591,0.704,0.83763,0.81727,0.69979,0.4927,0.64345,0.64921,0.00209,0,0.000522974,0.000522974,0.000522974
11,254.708,0.55722,0.50228,0.76906,0.00183,0.53969,0.68544,0.80697,0.79175,0.73148,0.68451,0.80565,0.79181,0.68221,0.42935,0.58095,0.72817,0.00181,0,0.000519304,0.000519304,0.000519304
12,277.015,0.56615,0.49335,0.68448,0.00191,0.46006,0.66931,0.87781,0.85012,0.7851,0.6673,0.87524,0.84756,0.7247,0.40895,0.6013,0.63255,0.00169,0,0.000515634,0.000515634,0.000515634
13,297.721,0.54116,0.48697,0.63028,0.00182,0.41444,0.87799,0.86862,0.92966,0.8573,0.87624,0.86758,0.92753,0.81371,0.42492,0.52099,0.43924,0.00178,0,0.000511965,0.000511965,0.000511965
14,318.116,0.53277,0.48554,0.57623,0.00176,0.36746,0.63158,0.76421,0.78621,0.72835,0.62982,0.76137,0.78359,0.6578,0.40419,0.70429,0.8333,0.00169,0,0.000508295,0.000508295,0.000508295
15,341.999,0.53586,0.47005,0.58454,0.00184,0.35108,0.8374,0.83502,0.90945,0.82319,0.83679,0.83495,0.90678,0.79583,0.4579,0.57728,0.52983,0.00191,0,0.000504626,0.000504626,0.000504626
16,362.559,0.52176,0.48224,0.55452,0.00178,0.35386,0.85946,0.8542,0.94297,0.87385,0.85698,0.85299,0.94064,0.79377,0.40834,0.54466,0.43807,0.00171,0,0.000500956,0.000500956,0.000500956
17,382.677,0.50928,0.47523,0.56474,0.00171,0.34256,0.74629,0.90284,0.9121,0.8584,0.74487,0.90152,0.90961,0.78656,0.37533,0.49862,0.46162,0.00155,0,0.000497286,0.000497286,0.000497286
18,402.97,0.51874,0.45863,0.55714,0.00167,0.35249,0.68244,0.93046,0.85354,0.7966,0.68147,0.92921,0.8531,0.74272,0.38778,0.55565,0.58623,0.0016,0,0.000493617,0.000493617,0.000493617
19,423.273,0.49194,0.44549,0.52154,0.00161,0.33158,0.84245,0.85854,0.93527,0.87189,0.84245,0.85854,0.93479,0.81379,0.38725,0.51113,0.42699,0.00161,0,0.000489947,0.000489947,0.000489947
20,444.12,0.49296,0.42995,0.47216,0.00168,0.3077,0.91909,0.92317,0.97041,0.91266,0.92025,0.9168,0.96922,0.8394,0.37201,0.52237,0.31539,0.00154,0,0.000486278,0.000486278,0.000486278
21,467.941,0.49392,0.42191,0.48477,0.00162,0.29505,0.92298,0.91274,0.96603,0.89821,0.92102,0.9121,0.96426,0.83953,0.39954,0.55845,0.33913,0.00165,0,0.000482608,0.000482608,0.000482608
22,491.828,0.49921,0.41803,0.49518,0.0017,0.30975,0.7371,0.91729,0.91477,0.85305,0.73584,0.91626,0.91238,0.7784,0.40589,0.55943,0.45582,0.00172,0,0.000478938,0.000478938,0.000478938
23,511.966,0.49454,0.41126,0.4198,0.00165,0.27246,0.93071,0.93093,0.97864,0.91841,0.93071,0.93093,0.97754,0.85879,0.38175,0.52289,0.29185,0.00161,0,0.000475269,0.000475269,0.000475269
24,532.626,0.54293,0.4241,0.52617,0.00179,0.30831,0.8579,0.87141,0.94621,0.88446,0.8579,0.87141,0.94606,0.81724,0.38573,0.55649,0.39303,0.0016,0,0.000471599,0.000471599,0.000471599
25,554.325,0.51129,0.41255,0.45384,0.00167,0.26759,0.92307,0.92799,0.96928,0.90482,0.9218,0.92667,0.96721,0.82931,0.38819,0.52241,0.31803,0.00161,0,0.00046793,0.00046793,0.00046793
26,574.583,0.48464,0.42447,0.42237,0.00157,0.25742,0.72934,0.93647,0.91073,0.85549,0.72835,0.93515,0.90887,0.78501,0.37741,0.4971,0.46689,0.00157,0,0.00046426,0.00046426,0.00046426
27,594.871,0.50958,0.42865,0.42391,0.0016,0.25495,0.87233,0.85472,0.95634,0.89723,0.86959,0.86326,0.95573,0.82497,0.37544,0.49284,0.39098,0.00157,0,0.00046059,0.00046059,0.00046059
28,615.474,0.49481,0.41907,0.41076,0.00165,0.24092,0.88428,0.90235,0.96645,0.90168,0.88376,0.90786,0.96564,0.83434,0.38279,0.49959,0.33589,0.00157,0,0.000456921,0.000456921,0.000456921
