epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8946,0.27702,0.31453,0.14802,0.00109,0.0646,0.96878,0.96557,0.98625,0.9611,0.96878,0.96557,0.98684,0.95374,0.31248,0.34677,0.1905,0.00113,0,4.98413e-05,4.98413e-05,4.98413e-05
2,111.793,0.26537,0.29963,0.11255,0.00104,0.04181,0.98811,0.95896,0.98786,0.96683,0.98811,0.95896,0.98851,0.9604,0.30633,0.33924,0.17317,0.00111,0,4.93185e-05,4.93185e-05,4.93185e-05
3,164.876,0.25302,0.29014,0.10136,0.00099,0.03636,0.97169,0.97741,0.98983,0.9691,0.97169,0.97741,0.99009,0.96219,0.30251,0.32913,0.16446,0.00109,0,4.73205e-05,4.73205e-05,4.73205e-05
4,217.917,0.24679,0.2822,0.09723,0.00097,0.03427,0.98786,0.95839,0.98946,0.96909,0.98786,0.95839,0.98956,0.96253,0.29753,0.32619,0.17469,0.00108,0,4.41421e-05,4.41421e-05,4.41421e-05
5,270.745,0.24048,0.2766,0.0951,0.00094,0.03316,0.98119,0.96548,0.9894,0.96848,0.98119,0.96548,0.98949,0.96322,0.30068,0.32598,0.16721,0.00108,0,4e-05,4e-05,4e-05
6,323.427,0.23685,0.2717,0.09097,0.00093,0.03144,0.98076,0.96795,0.99054,0.96973,0.98076,0.96795,0.99068,0.96363,0.29721,0.32612,0.16081,0.00107,0,3.51764e-05,3.51764e-05,3.51764e-05
7,376.149,0.23182,0.26784,0.09087,0.00091,0.03089,0.98652,0.96405,0.99076,0.97095,0.98652,0.96405,0.99086,0.96441,0.29484,0.32544,0.15948,0.00106,0,3e-05,3e-05,3e-05
8,429.573,0.22934,0.2642,0.08837,0.00089,0.03026,0.97501,0.97399,0.99017,0.97052,0.97501,0.97399,0.99087,0.96444,0.29412,0.32557,0.16058,0.00105,0,2.48236e-05,2.48236e-05,2.48236e-05
9,481.814,0.22597,0.26308,0.08784,0.00088,0.02973,0.97882,0.97174,0.98978,0.96986,0.97882,0.97174,0.99047,0.96386,0.29132,0.32692,0.16059,0.00105,0,2e-05,2e-05,2e-05
10,534.293,0.22347,0.26091,0.085,0.00087,0.02973,0.97512,0.97243,0.98993,0.96937,0.97512,0.97243,0.99062,0.96364,0.29115,0.32522,0.15925,0.00104,0,1.58579e-05,1.58579e-05,1.58579e-05
11,586.902,0.22249,0.26023,0.08573,0.00087,0.02894,0.9838,0.96575,0.99101,0.9709,0.9838,0.96575,0.99107,0.96483,0.29162,0.32449,0.16086,0.00104,0,1.26795e-05,1.26795e-05,1.26795e-05
12,639.677,0.2211,0.25961,0.08398,0.00086,0.02889,0.97877,0.97064,0.99057,0.97059,0.97877,0.97064,0.99063,0.96379,0.29115,0.3248,0.15894,0.00104,0,1.06815e-05,1.06815e-05,1.06815e-05
